User Language,"Are you a Smart Home Personal Assistant (SPA) user or owner, e.g., Amazon Echo or Google Home?",Which SPA do you use? (Check all that apply) - Selected Choice,Which SPA do you use? (Check all that apply) - Other - Text,How long have you been using it?,Would you consider using it in the future?,Please choose from the following why you would consider owing or buying a smart speaker/assistant in the future: Select all options that apply - Selected Choice,Please choose from the following why you would consider owing or buying a smart speaker/assistant in the future: Select all options that apply - Other - Text,Please choose from the following why you may NOT wish to use a Smart Home Personal Assistants in the future: Select all options that apply - Selected Choice,Please choose from the following why you may NOT wish to use a Smart Home Personal Assistants in the future: Select all options that apply - Other - Text,Age,Employment Status,Gender identity,Highest education level completed,Internet enabled products,Student Status,Technology use at work
EN-GB,Yes,"Amazon Echo/Alexa,Google Home",,3 Years ,,,,,,24,Full-Time,Male,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",No,more than once a day
EN-GB,Yes,Google Home,,"2 Years
",,,,,,27,Unemployed (and job seeking),Female,Technical/community college,"Video streaming product (e.g. AppleTV, chromecast)",Yes,more than once a day
EN-GB,Yes,"Amazon Echo/Alexa,Google Home,Microsoft cortana",,3 Years ,,,,,,28,Full-Time,Male,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,61,Full-Time,Male,High school diploma/A-levels,"Games console (e.g. PS4, Xbox one), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Smart TV (e.g. Samsung, LG, JVC), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",No,more than once a day
EN-GB,Yes,"Amazon Echo/Alexa,Google Home,Microsoft cortana",,"2 Years
",,,,,,20,Other,Male,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",Yes,more than once a day
EN-GB,No,,,,Yes,"It provides convenience,It is useful",,,,26,Full-Time,Female,Undergraduate degree (BA/BSc/other),"Smart Thermostat (e.g. Nest, Hive, tadoi), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",No,about once a day
EN-GB,Yes,"Amazon Echo/Alexa,Google Home",,"2 Years
",,,,,,42,Full-Time,Female,Doctorate degree (PhD/other),"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Connected printers (e.g. WiFi)",No,2 or 3 times a week
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,26,Unemployed (and job seeking),Female,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",Yes,not at all
EN-GB,Yes,"Amazon Echo/Alexa,Google Home",,1 Year,,,,,,25,Part-Time,Male,Undergraduate degree (BA/BSc/other),"Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Video streaming product (e.g. AppleTV, chromecast)",Yes,2 or 3 times a week
EN-GB,Yes,"Amazon Echo/Alexa,Google Home",,"2 Years
",,,,,,29,Unemployed (and job seeking),Male,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",Yes,about once a day
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,20,Unemployed (and job seeking),Female,High school diploma/A-levels,"Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",Yes,not at all
EN-GB,Yes,Google Home,,1 Year,,,,,,23,Full-Time,Male,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast)",No,more than once a day
EN-GB,Yes,"Amazon Echo/Alexa,Microsoft cortana",,"2 Years
",,,,,,19,Full-Time,Male,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Video streaming product (e.g. AppleTV, chromecast), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",Yes,more than once a day
EN-GB,No,,,,Yes,"It provides convenience,It is useful,Just to try it out,To keep me company",,,,23,Full-Time,Female,Technical/community college,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart health monitors excluding smart watches (e.g. scales, blood pressure monitors), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2)",No,more than once a day
EN-GB,Yes,Google Home,,"2 Years
",,,,,,18,Unemployed (and job seeking),Male,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi)",Yes,not at all
EN-GB,Yes,Google Home,,"2 Years
",,,,,,30,Part-Time,Female,Undergraduate degree (BA/BSc/other),"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",No,4 or 6 times a week
EN-GB,Yes,Google Home,,1 Year,,,,,,49,Full-Time,Female,High school diploma/A-levels,Connected printers (e.g. WiFi),No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,20,Unemployed (and job seeking),Female,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart Thermostat (e.g. Nest, Hive, tadoi), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",Yes,not at all
EN-GB,Yes,"Amazon Echo/Alexa,Google Home",,"2 Years
",,,,,,42,Full-Time,Male,Graduate degree (MA/MSc/MPhil/other),"Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo)",No,2 or 3 times a week
EN-GB,Yes,Google Home,,"2 Years
",,,,,,21,Unemployed (and job seeking),Male,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi)",Yes,4 or 6 times a week
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,32,Part-Time,Male,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",Yes,more than once a day
EN-GB,No,,,,Yes,It is useful,,,,23,Other,Male,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",Yes,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,3 Years ,,,,,,48,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,High school diploma/A-levels,"Smart health monitors excluding smart watches (e.g. scales, blood pressure monitors)",No,not at all
EN-GB,Yes,Google Home,,"2 Years
",,,,,,20,Unemployed (and job seeking),Female,Undergraduate degree (BA/BSc/other),"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",Yes,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,54,Full-Time,Female,Secondary education (e.g. GED/GCSE),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,21,Full-Time,Female,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Smart Thermostat (e.g. Nest, Hive, tadoi), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2), Smart smoke monitors and alarms (e.g. Kepler, Birdi)",Yes,more than once a day
EN-GB,No,,,,Yes,"It provides convenience,It is useful",,,,18,Unemployed (and job seeking),Female,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart Thermostat (e.g. Nest, Hive, tadoi), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",Yes,more than once a day
EN-GB,Yes,"Amazon Echo/Alexa,Google Home,Microsoft cortana",,"2 Years
",,,,,,24,Other,Male,High school diploma/A-levels,"Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo)",Yes,about once a day
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,22,"Not in paid work (e.g. homemaker', 'retired or disabled)",Male,Undergraduate degree (BA/BSc/other),"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch)",No,about once a day
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,20,Other,Female,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Smart Thermostat (e.g. Nest, Hive, tadoi), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast)",Yes,not at all
EN-GB,No,,,,Yes,Just to try it out,,,,22,Part-Time,Female,Undergraduate degree (BA/BSc/other),"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast)",No,more than once a day
EN-GB,No,,,,Yes,"It is useful,Just to try it out",,,,23,Unemployed (and job seeking),Male,Technical/community college,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner), Smart bluetooth trackers excluding smart watches (e.g. keyrings to identify lost keys such as Tile, Chipolo, Lapa 2)",Yes,more than once a day
EN-GB,No,,,,Yes,"It provides convenience,Just to try it out",,,,27,Part-Time,Male,Undergraduate degree (BA/BSc/other),"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan)",No,2 or 3 times a week
EN-GB,Yes,Amazon Echo/Alexa,,3 Years ,,,,,,29,Part-Time,Female,Undergraduate degree (BA/BSc/other),"Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,20,Part-Time,Female,Secondary education (e.g. GED/GCSE),"Video streaming product (e.g. AppleTV, chromecast), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner), Connected printers (e.g. WiFi), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart health monitors excluding smart watches (e.g. scales, blood pressure monitors)",Yes,less than once a week
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,43,Part-Time,Female,Graduate degree (MA/MSc/MPhil/other),"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi)",No,more than once a day
EN-GB,Yes,Apple Homepod,,Less than a year ago,,,,,,20,Part-Time,Male,High school diploma/A-levels,"Smart Thermostat (e.g. Nest, Hive, tadoi), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Video streaming product (e.g. AppleTV, chromecast), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Games console (e.g. PS4, Xbox one), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Smart health monitors excluding smart watches (e.g. scales, blood pressure monitors), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell)",Yes,about once a day
EN-GB,Yes,"Amazon Echo/Alexa,Google Home",,1 Year,,,,,,45,Full-Time,Male,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,3 Years ,,,,,,29,Full-Time,Female,Undergraduate degree (BA/BSc/other),"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Connected printers (e.g. WiFi), Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,22,Other,Female,Undergraduate degree (BA/BSc/other),"Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",Yes,about once a week
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,31,Full-Time,Male,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi), Video streaming product (e.g. AppleTV, chromecast)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,27,Part-Time,Male,Undergraduate degree (BA/BSc/other),"Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",No,more than once a day
EN-GB,No,,,,No,,,"It is unnecessary,It may invade privacy",,31,Other,Male,Graduate degree (MA/MSc/MPhil/other),"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",Yes,more than once a day
EN-GB,Yes,"Amazon Echo/Alexa,Microsoft cortana",,1 Year,,,,,,42,Full-Time,Female,Secondary education (e.g. GED/GCSE),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,23,Full-Time,Male,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Connected printers (e.g. WiFi), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch)",Yes,4 or 6 times a week
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,37,Unemployed (and job seeking),Female,Secondary education (e.g. GED/GCSE),"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",No,not at all
EN-GB,No,,,,Yes,It is useful,,,,29,Full-Time,Male,Technical/community college,"Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",No,more than once a day
EN-GB,Yes,"Amazon Echo/Alexa,Google Home",,1 Year,,,,,,23,Other,Male,Technical/community college,"Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi)",Yes,about once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,41,Full-Time,Male,Technical/community college,"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",No,about once a week
